customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
KY38074,California,U,Bachelor,13891.735700000001,42305.0,117.0,0.0,Personal Auto,Four-Door Car,561.6
DM79012,Oregon,U,Master,7380.9767,65706.0,91.0,0.0,Personal Auto,Four-Door Car,436.8
CM61827,Oregon,U,Bachelor,3090.0341,0.0,90.0,0.0,Personal Auto,Two-Door Car,648.0
WC35801,Arizona,U,High School or Below,2521.6331,53243.0,66.0,2.0,Personal Auto,Four-Door Car,157.397849
QG25316,Nevada,U,High School or Below,2652.0618,0.0,70.0,1.0,Corporate Auto,Two-Door Car,484.318536
MB98372,Oregon,U,College,2771.045,50071.0,71.0,0.0,Corporate Auto,Two-Door Car,18.918935
IL19217,California,U,Bachelor,3939.0064,60021.0,99.0,0.0,Personal Auto,Four-Door Car,882.871945
SR38658,Arizona,U,High School or Below,12231.8797,43244.0,103.0,0.0,Personal Auto,Sports Car,494.4
YD87931,Washington,M,Doctor,4951.6561,46896.0,35354.0,1.0,Personal Auto,Four-Door Car,31.707317
HG65722,Oregon,U,Doctor,12819.1029,10105.0,172.0,3.0,Personal Auto,SUV,0.517753
BU27331,Arizona,U,Bachelor,4468.5105,0.0,73.0,3.0,Personal Auto,Four-Door Car,579.165954
XM45289,Oregon,U,High School or Below,5514.344,23218.0,71.0,0.0,Personal Auto,Two-Door Car,447.79344
KP34198,California,U,Bachelor,3343.8753,0.0,92.0,0.0,Corporate Auto,Four-Door Car,529.624084
SH90947,Arizona,U,High School or Below,2294.4789,0.0,62.0,0.0,Personal Auto,Four-Door Car,313.023175
WE95729,Oregon,U,College,36707.426400000004,24804.0,104.0,0.0,Personal Auto,SUV,593.830288
PY51963,California,U,Bachelor,33473.349500000004,33190.0,106.0,0.0,Corporate Auto,SUV,508.8
RB69909,Nevada,U,High School or Below,7983.4317,36014.0,69.0,3.0,Special Auto,Four-Door Car,173.956072
NW21079,Washington,F,Master,4879.3848,67163.0,61.0,2.0,Personal Auto,Two-Door Car,33.192803
FR46645,California,U,Bachelor,4293.9973,16701.0,113.0,0.0,Personal Auto,Four-Door Car,831.625979
SY17488,Arizona,U,College,7164.3955000000005,46623.0,91.0,0.0,Corporate Auto,Four-Door Car,436.8
AP67935,California,U,College,7619.515799999999,64749.0,64.0,0.0,Special Auto,Four-Door Car,302.56519
FS37417,Arizona,U,High School or Below,3958.0028,0.0,101.0,0.0,Personal Auto,SUV,484.8
ML29312,Oregon,U,High School or Below,4499.4933,16969.0,124.0,2.0,Personal Auto,SUV,704.768111
UB61619,Oregon,U,Master,4059.5674,11621.0,108.0,0.0,Personal Auto,Four-Door Car,518.4
CD86811,Arizona,U,Bachelor,4458.1134,17622.0,65.0,1.0,Personal Auto,Four-Door Car,312.0
RU83859,California,U,Bachelor,8110.333100000001,11489.0,105.0,0.0,Personal Auto,Two-Door Car,504.0
FG63582,Oregon,U,Bachelor,3339.7649,0.0,94.0,0.0,Personal Auto,Two-Door Car,863.327324
NN71951,California,U,High School or Below,24261.017799999998,66525.0,100.0,0.0,Personal Auto,SUV,104.331355
WB37082,Arizona,U,Bachelor,6613.9737,0.0,63.0,0.0,Personal Auto,Four-Door Car,676.391482
SM52139,Washington,U,College,2930.6935,33663.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
FL82372,Oregon,U,College,8672.194300000001,22547.0,112.0,0.0,Corporate Auto,SUV,537.6
DP45816,Arizona,U,High School or Below,11638.6693,61486.0,97.0,0.0,Personal Auto,Two-Door Car,465.258644
GW33762,Oregon,U,Bachelor,6846.1503,0.0,95.0,0.0,Personal Auto,Two-Door Car,456.0
RZ33670,California,U,College,11727.7765,29879.0,102.0,0.0,Personal Auto,Four-Door Car,500.254235
PY70169,Oregon,U,High School or Below,22643.8348,93011.0,113.0,0.0,Personal Auto,SUV,281.451042
MO91628,Oregon,U,Master,2614.4743,65186.0,65.0,0.0,Personal Auto,Two-Door Car,5.434505
HW87852,Oregon,U,Master,2451.7527,26840.0,64.0,2.0,Personal Auto,Four-Door Car,307.2
HB20453,Oregon,U,Bachelor,6781.2702,0.0,104.0,1.0,Personal Auto,Sports Car,982.399613
BN87372,Oregon,U,Bachelor,4974.8015000000005,75644.0,65.0,3.0,Personal Auto,Two-Door Car,467.803638
YX23800,Oregon,U,Bachelor,8591.6049,38984.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
DZ87709,Oregon,U,High School or Below,5592.1614,71811.0,71.0,0.0,Personal Auto,Four-Door Car,29.03416
XW13033,Nevada,U,College,8009.4728000000005,20961.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
SP81997,Washington,F,Master,7935.909024929708,41275.0,96.0,0.0,Personal Auto,Four-Door Car,41.122303
OM82309,California,U,Bachelor,58166.553499999995,61321.0,186.0,1.0,Personal Auto,Luxury Car,427.63121
ZU35962,California,U,College,8025.229399999999,0.0,77.0,0.0,Personal Auto,Two-Door Car,25.807685
VH85817,California,U,High School or Below,5780.182199999999,51066.0,74.0,0.0,Personal Auto,Four-Door Car,787.993313
DT85712,California,U,Doctor,4118.5391,34378.0,102.0,0.0,Personal Auto,SUV,489.6
YJ88573,Nevada,U,Master,2523.0702,43072.0,63.0,0.0,Personal Auto,Four-Door Car,302.4
SQ19467,Oregon,U,College,6554.2164,25222.0,90.0,0.0,Personal Auto,Four-Door Car,475.623251
YB66933,Washington,F,Bachelor,5382.7519999999995,77552.0,68.0,1.0,Corporate Auto,Four-Door Car,45.215059
ET79815,California,U,College,5926.729399999999,23091.0,96.0,5.0,Personal Auto,Four-Door Car,460.8
QC35222,California,U,Bachelor,2683.4707,48269.0,69.0,3.0,Corporate Auto,Four-Door Car,282.151207
CJ15590,Oregon,U,Bachelor,2695.1823999999997,32720.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
OI48267,California,U,College,6047.0252,20396.0,76.0,1.0,Personal Auto,Four-Door Car,364.8
JY67916,Oregon,U,College,13171.0128,21513.0,119.0,1.0,Personal Auto,Two-Door Car,679.827592
OW15518,Washington,F,College,15950.0195,0.0,87.0,1.0,Personal Auto,Two-Door Car,46.041452
CZ33664,Oregon,U,Bachelor,2527.6538,80744.0,63.0,0.0,Corporate Auto,Four-Door Car,11.879037
WK30175,Oregon,U,Bachelor,2672.0958,52822.0,67.0,0.0,Corporate Auto,Two-Door Car,350.529033
ON44465,California,U,High School or Below,5313.294,0.0,77.0,1.0,Personal Auto,Four-Door Car,863.3947
TV87155,Oregon,U,Bachelor,20946.1925,69738.0,74.0,1.0,Personal Auto,Four-Door Car,492.127532
KH48895,Arizona,U,Master,8375.3539,17780.0,109.0,0.0,Personal Auto,SUV,132.588288
NZ30757,California,U,Bachelor,4801.6615,18107.0,62.0,0.0,Personal Auto,Four-Door Car,297.6
RI22468,Arizona,U,Bachelor,5745.9433,57740.0,74.0,3.0,Personal Auto,Four-Door Car,269.905129
FZ30935,Oregon,U,College,6066.116,32627.0,76.0,0.0,Personal Auto,Two-Door Car,380.036697
UG93476,California,U,College,8002.3083,0.0,107.0,0.0,Personal Auto,SUV,513.6
AB96670,California,U,College,2393.9154,0.0,70.0,0.0,Personal Auto,Four-Door Car,425.266308
XK64261,Oregon,U,Bachelor,4762.8179,65795.0,62.0,1.0,Corporate Auto,Two-Door Car,49.011099
EV68375,California,U,College,4330.3859999999995,60475.0,107.0,0.0,Personal Auto,Four-Door Car,513.6
UN51653,California,U,High School or Below,9402.7298,0.0,130.0,0.0,Personal Auto,SUV,936.0
TO96662,Oregon,U,Bachelor,6966.6945,41837.0,88.0,0.0,Personal Auto,Four-Door Car,142.062768
MR52087,California,U,Bachelor,7694.064300000001,32303.0,65.0,0.0,Personal Auto,Four-Door Car,45.152521
DE75225,Oregon,U,High School or Below,8717.561099999999,0.0,117.0,1.0,Personal Auto,SUV,561.6
EP80820,California,U,Bachelor,5928.7485,40531.0,74.0,0.0,Personal Auto,Two-Door Car,30.567357
GU99037,Oregon,U,College,2452.9773,79898.0,62.0,1.0,Corporate Auto,Four-Door Car,271.606799
WI57118,California,U,College,6701.5717,56398.0,85.0,0.0,Personal Auto,Four-Door Car,408.0
GP39118,Washington,M,High School or Below,4996.5527,71600.0,63.0,0.0,Personal Auto,Two-Door Car,46.158117
MQ14219,Arizona,U,College,8492.6988,27804.0,109.0,0.0,Personal Auto,SUV,784.8
KN20603,Oregon,U,Bachelor,7713.494000000001,45506.0,66.0,2.0,Personal Auto,Four-Door Car,316.8
SG20925,Washington,F,Master,5185.7976,99428.0,6464.0,1.0,Personal Auto,Four-Door Car,48.046869
JI70886,California,U,High School or Below,7290.0698,0.0,102.0,1.0,Corporate Auto,SUV,489.6
VF72557,Oregon,U,High School or Below,4772.9438,20993.0,133.0,0.0,Personal Auto,SUV,638.4
OX28638,Arizona,U,High School or Below,6806.4914,37839.0,86.0,0.0,Personal Auto,Two-Door Car,465.633954
SK55033,California,U,Bachelor,2469.7813,92711.0,62.0,0.0,Personal Auto,Two-Door Car,368.400146
OO88645,California,U,College,3103.923,74665.0,78.0,2.0,Corporate Auto,Four-Door Car,236.902001
FM14335,Washington,F,College,10484.9154,61108.0,89.0,0.0,Personal Auto,Four-Door Car,49.451117
CW82151,California,U,Bachelor,8902.7376,46833.0,112.0,0.0,Personal Auto,Sports Car,64.109663
DY22043,Oregon,U,High School or Below,5499.4472,88768.0,68.0,0.0,Personal Auto,Two-Door Car,326.4
SH36774,California,U,High School or Below,15023.598600000001,28262.0,192.0,0.0,Personal Auto,Luxury SUV,921.6
EM43724,Nevada,U,Bachelor,2509.1079,33555.0,63.0,0.0,Personal Auto,Four-Door Car,101.89645
FH85960,Oregon,U,College,31221.7481,42780.0,113.0,1.0,Personal Auto,Four-Door Car,542.4
XA55993,Oregon,U,Master,3133.5034,58850.0,78.0,0.0,Personal Auto,Four-Door Car,143.747794
GO36627,Arizona,U,College,3837.4519,21880.0,97.0,0.0,Special Auto,Four-Door Car,424.077159
QH48047,Oregon,U,College,11790.496200000001,25251.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
HS28694,Washington,F,High School or Below,2829.8639000000003,25317.0,71.0,0.0,Personal Auto,Two-Door Car,50.422181
UH65059,Arizona,U,High School or Below,4305.808300000001,24188.0,109.0,0.0,Personal Auto,Sports Car,523.2
FV21968,Nevada,U,Bachelor,5973.9769,41611.0,74.0,0.0,Special Auto,Four-Door Car,113.801497
QA87025,Oregon,U,Bachelor,5670.4424,28406.0,72.0,1.0,Personal Auto,Four-Door Car,192.87572
TQ13499,Arizona,U,College,4731.7492999999995,69833.0,118.0,0.0,Personal Auto,Four-Door Car,828.662719
BU44523,Arizona,U,High School or Below,8026.379599999999,0.0,74.0,0.0,Corporate Auto,Four-Door Car,532.8
MS41162,Arizona,U,High School or Below,4022.9635,0.0,117.0,0.0,Personal Auto,SUV,975.107098
PU25891,Oregon,U,High School or Below,9618.3109,80536.0,119.0,0.0,Special Auto,Sports Car,53.798708
LH92841,Washington,F,Bachelor,7255.9538,88891.0,89.0,0.0,Personal Auto,Four-Door Car,50.528355
SX26335,Oregon,U,College,9552.926899999999,97732.0,79.0,0.0,Personal Auto,Four-Door Car,289.9122
AZ95587,Arizona,F,Bachelor,10388.5532,61222.0,89.0,0.0,Special Auto,Four-Door Car,392.604371
DS81757,Oregon,M,College,2470.1212,0.0,74.0,0.0,Personal Auto,Two-Door Car,721.242206
OJ94107,Arizona,M,Master,5619.068499999999,50335.0,140.0,0.0,Personal Auto,SUV,456.52385
LP84436,California,F,High School or Below,9047.119200000001,0.0,127.0,0.0,Personal Auto,Sports Car,1087.995426
FF22360,Washington,F,Doctor,2687.3140999999996,82210.0,68.0,4.0,Personal Auto,Four-Door Car,51.961915
LM19287,Oregon,F,High School or Below,3731.5046,0.0,96.0,0.0,Personal Auto,Four-Door Car,460.8
ZU18643,Nevada,M,Bachelor,3660.7703,64495.0,92.0,0.0,Corporate Auto,Four-Door Car,251.992083
AZ82578,California,F,College,7928.8293,0.0,72.0,0.0,Corporate Auto,Four-Door Car,345.6
XC67861,Arizona,F,Bachelor,5011.7516,28859.0,67.0,3.0,Corporate Auto,Two-Door Car,321.6
YC43143,Arizona,F,High School or Below,7988.2582999999995,77330.0,99.0,0.0,Personal Auto,Four-Door Car,99.257608
EK59571,Oregon,M,College,3885.4564,0.0,105.0,0.0,Corporate Auto,Four-Door Car,504.0
PA38372,Washington,F,High School or Below,9357.7378,33060.0,117.0,0.0,Personal Auto,Four-Door Car,56.731578
RO18530,Washington,M,Master,2540.6898,42557.0,65.0,0.0,Personal Auto,Four-Door Car,57.562324
PD27940,Arizona,M,High School or Below,4885.1625,26372.0,126.0,0.0,Personal Auto,SUV,604.8
BS77946,Arizona,F,Bachelor,9753.3071,17514.0,127.0,0.0,Personal Auto,SUV,8.312729
YM50253,California,F,Bachelor,2946.1537,89270.0,74.0,0.0,Personal Auto,Four-Door Car,316.599228
NR15332,California,M,High School or Below,2581.1109,29757.0,65.0,0.0,Personal Auto,Four-Door Car,312.0
RC62865,Oregon,M,College,3517.3858,51814.0,92.0,0.0,Personal Auto,Four-Door Car,56.300724
CC15295,Oregon,F,Bachelor,9743.3501,24028.0,82.0,0.0,Personal Auto,Four-Door Car,393.6
KA61892,Arizona,M,College,3873.647,28142.0,105.0,0.0,Personal Auto,Sports Car,701.708239
OS94884,Arizona,F,Bachelor,7649.281999999999,52705.0,64.0,1.0,Personal Auto,Two-Door Car,128.705563
ND87334,California,M,High School or Below,2287.5969,0.0,63.0,0.0,Corporate Auto,Two-Door Car,679.368378
OY51402,Washington,F,High School or Below,8255.7639,54040.0,103.0,0.0,Personal Auto,SUV,59.987126
YL74911,California,F,College,8714.9221,0.0,118.0,0.0,Personal Auto,SUV,566.4
GK92563,Washington,F,Doctor,6819.2312,22492.0,85.0,0.0,Personal Auto,Two-Door Car,61.654262
HL53154,California,M,Bachelor,7416.1973,0.0,77.0,2.0,Personal Auto,Four-Door Car,554.4
RI78966,Oregon,M,Master,7771.159000000001,21876.0,68.0,0.0,Personal Auto,Four-Door Car,465.41477
IC13702,California,F,Bachelor,6968.341899999999,0.0,69.0,1.0,Personal Auto,Four-Door Car,496.8
BE10809,California,F,High School or Below,4250.2826000000005,0.0,61.0,1.0,Personal Auto,Four-Door Car,292.8
HT87217,Oregon,F,High School or Below,19776.5665,70699.0,82.0,0.0,Personal Auto,Four-Door Car,256.813837
TH95618,California,F,High School or Below,21343.466,0.0,74.0,1.0,Personal Auto,Four-Door Car,355.2
TS19868,California,M,College,2413.1397,27501.0,63.0,0.0,Personal Auto,Four-Door Car,542.319401
LP45550,Oregon,F,Doctor,15363.8472,15897.0,101.0,0.0,Personal Auto,Four-Door Car,303.148399
QR87004,Nevada,F,College,8456.9619,25141.0,73.0,1.0,Personal Auto,Four-Door Car,25.438063
OE75747,Nevada,F,College,2189.6425,0.0,61.0,3.0,Personal Auto,Four-Door Car,292.8
DX91392,California,M,High School or Below,5780.182199999999,51066.0,74.0,0.0,Personal Auto,Four-Door Car,787.993313
AB72731,California,F,Bachelor,4639.9816,28358.0,117.0,0.0,Personal Auto,Sports Car,84.024413
GX84338,Washington,F,Doctor,3824.4313,62530.0,95.0,0.0,Personal Auto,Four-Door Car,61.693771
IS12901,Arizona,F,Bachelor,5968.1189,90972.0,74.0,0.0,Personal Auto,Two-Door Car,232.926145
BN90616,Washington,F,Bachelor,8590.335,63110.0,72.0,0.0,Personal Auto,Four-Door Car,68.179721
HH90090,California,F,Bachelor,4076.6346999999996,29549.0,104.0,0.0,Personal Auto,Sports Car,710.433775
IU25463,California,F,Bachelor,12252.601799999999,0.0,115.0,1.0,Personal Auto,Four-Door Car,552.0
KC11055,Nevada,F,Bachelor,16936.2715,39411.0,217.0,2.0,Personal Auto,Luxury Car,1122.658899
PD33979,Oregon,M,High School or Below,4892.4355,21709.0,62.0,0.0,Personal Auto,Four-Door Car,408.374746
NK71023,Nevada,M,Bachelor,9942.3048,67890.0,85.0,0.0,Personal Auto,Four-Door Car,408.0
AB13432,California,M,Bachelor,3735.8381,0.0,110.0,0.0,Personal Auto,SUV,792.0
OZ97704,California,F,High School or Below,13117.5222,84311.0,111.0,4.0,Personal Auto,SUV,532.8
UF46533,California,F,College,4574.5241,99316.0,114.0,0.0,Corporate Auto,SUV,754.358929
XP47431,Arizona,F,Bachelor,5470.060600000001,54507.0,138.0,0.0,Personal Auto,SUV,702.990032
GK73582,California,F,Bachelor,2978.8459999999995,64586.0,76.0,0.0,Personal Auto,Four-Door Car,206.837111
RV98763,Oregon,M,College,6410.9675,61709.0,82.0,2.0,Personal Auto,Four-Door Car,275.395894
II62831,California,M,Master,4479.0231,94656.0,111.0,1.0,Special Auto,SUV,459.738128
XK33449,California,F,High School or Below,2383.7319,0.0,69.0,0.0,Special Auto,Two-Door Car,496.8
TR85083,California,M,Bachelor,2764.4937,61085.0,70.0,1.0,Personal Auto,Two-Door Car,336.0
EO95328,Oregon,F,Bachelor,7920.1054,89284.0,67.0,3.0,Personal Auto,Two-Door Car,321.6
EN21086,Arizona,F,High School or Below,6889.098000000001,0.0,63.0,0.0,Personal Auto,Four-Door Car,302.4
YL83902,Washington,F,Bachelor,3274.1946000000003,31686.0,81.0,0.0,Personal Auto,Four-Door Car,430.994107
AZ62651,Oregon,M,High School or Below,9951.7077,56855.0,255.0,0.0,Corporate Auto,Luxury SUV,1836.0
ZW25874,Oregon,M,Bachelor,2521.5557,53703.0,67.0,2.0,Special Auto,Four-Door Car,67.632476
EH41854,Washington,F,High School or Below,23706.1134,0.0,96.0,1.0,Personal Auto,Two-Door Car,844.481918
MW70227,California,M,College,6047.0252,20396.0,76.0,1.0,Personal Auto,Four-Door Car,364.8
SL22297,California,F,Master,11140.3025,27679.0,150.0,0.0,Personal Auto,SUV,722.486994
RV14138,Nevada,F,Bachelor,4334.0641,23904.0,123.0,3.0,Personal Auto,SUV,590.4
UO62808,Arizona,F,High School or Below,2799.7479,65351.0,69.0,0.0,Corporate Auto,Four-Door Car,481.027516
ZX64745,California,M,College,7923.136600000001,0.0,113.0,0.0,Personal Auto,SUV,1124.427734
FL34139,California,M,High School or Below,3688.1109,0.0,63.0,3.0,Personal Auto,Four-Door Car,669.682001
TS11219,California,M,College,12067.456,0.0,116.0,0.0,Personal Auto,SUV,1284.093173
XX12304,California,F,College,2924.9766999999997,64459.0,72.0,0.0,Personal Auto,Four-Door Car,240.259479
SD64087,California,M,College,15014.092700000001,32961.0,190.0,0.0,Corporate Auto,SUV,912.0
OY38576,Oregon,F,High School or Below,9277.2338,71416.0,116.0,0.0,Corporate Auto,SUV,556.8
BG76355,Washington,F,Bachelor,6274.1239000000005,68964.0,78.0,0.0,Personal Auto,Four-Door Car,115.086827
IP66913,California,M,High School or Below,3886.6474,78108.0,98.0,0.0,Personal Auto,Two-Door Car,470.4
LE95702,California,M,College,4386.2776,10621.0,67.0,0.0,Special Auto,Four-Door Car,321.6
KX54357,Washington,M,College,11365.2677,84910.0,95.0,0.0,Corporate Auto,Two-Door Car,383.167471
EZ78112,California,F,High School or Below,5610.964300000001,77493.0,70.0,0.0,Special Auto,Four-Door Car,307.963291
XN16891,Arizona,M,College,2912.8920000000003,81097.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
XK31350,Oregon,F,College,6915.7299,96610.0,85.0,0.0,Corporate Auto,Four-Door Car,520.364752
CC30924,Oregon,M,College,6262.663299999999,30110.0,159.0,0.0,Corporate Auto,Sports Car,466.436375
IT78748,Oregon,F,High School or Below,6503.397,22081.0,84.0,0.0,Special Auto,Two-Door Car,451.670309
KY33386,Washington,F,High School or Below,8007.399399999999,0.0,112.0,0.0,Personal Auto,Sports Car,537.6
CO44221,California,M,College,2929.9165000000003,98473.0,72.0,0.0,Personal Auto,Four-Door Car,345.6
LK60013,Oregon,F,Bachelor,5969.553000000001,97431.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
DE21533,California,M,Bachelor,5473.1599,93870.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
YS94121,Nevada,M,High School or Below,5645.3967,50366.0,72.0,0.0,Personal Auto,Four-Door Car,428.734656
UK68427,Washington,M,High School or Below,6369.2624,34498.0,83.0,0.0,Personal Auto,Two-Door Car,398.4
TE49565,Oregon,F,College,11833.7673,16552.0,103.0,0.0,Personal Auto,SUV,494.4
RA88421,Oregon,F,College,6121.1079,26787.0,77.0,0.0,Personal Auto,Four-Door Car,369.6
KQ51983,Nevada,M,College,5159.369699999999,0.0,74.0,0.0,Personal Auto,Two-Door Car,831.752839
CD88896,Nevada,F,High School or Below,2514.592,43860.0,65.0,0.0,Corporate Auto,Four-Door Car,156.124914
YV22553,Arizona,M,High School or Below,8668.6113,21474.0,114.0,2.0,Corporate Auto,SUV,373.428187
WU14435,California,M,Bachelor,4960.9654,18174.0,66.0,0.0,Corporate Auto,Four-Door Car,395.934815
XV84099,Arizona,F,Bachelor,5504.139,0.0,73.0,0.0,Corporate Auto,Four-Door Car,350.4
RI24911,Arizona,M,College,7507.455400000001,60920.0,64.0,0.0,Personal Auto,Two-Door Car,231.201886
KO26461,Arizona,M,High School or Below,32269.8514,41520.0,90.0,0.0,Personal Auto,Four-Door Car,289.904105
HI14283,Oregon,F,Bachelor,5657.0316,0.0,152.0,0.0,Personal Auto,SUV,729.6
PT50227,Arizona,M,High School or Below,5061.7579,0.0,68.0,0.0,Personal Auto,Two-Door Car,326.4
BH36570,California,M,Bachelor,5912.7838,72208.0,73.0,0.0,Personal Auto,Two-Door Car,350.4
TX17484,California,F,Bachelor,15182.2798,53863.0,63.0,0.0,Personal Auto,Four-Door Car,105.765111
CT41158,Washington,M,College,10747.030900000002,66446.0,136.0,0.0,Corporate Auto,SUV,639.464548
AO87348,Washington,M,College,2050.6235,0.0,61.0,0.0,Personal Auto,Four-Door Car,292.8
DE55857,Washington,F,Bachelor,2465.4449,64997.0,63.0,1.0,Personal Auto,Four-Door Car,383.442328
LF66923,Nevada,F,High School or Below,5343.1213,64460.0,66.0,0.0,Corporate Auto,Two-Door Car,316.8
CN24514,Arizona,F,College,8119.8291,46618.0,67.0,0.0,Personal Auto,Four-Door Car,99.085943
UW32074,Oregon,F,College,4605.2652,0.0,64.0,0.0,Corporate Auto,Four-Door Car,307.2
HP36979,California,M,College,6408.7856,49988.0,84.0,5.0,Personal Auto,Two-Door Car,566.935022
PP40919,California,F,College,2376.5335,0.0,91.0,5.0,Personal Auto,Two-Door Car,436.8
RO73268,California,M,Bachelor,3211.07,16269.0,86.0,0.0,Corporate Auto,Two-Door Car,412.8
HO61691,Arizona,F,Bachelor,5094.5223,72006.0,64.0,0.0,Personal Auto,Four-Door Car,307.2
BS13062,Arizona,F,High School or Below,25755.278199999997,0.0,81.0,2.0,Personal Auto,Four-Door Car,388.8
FO35655,Oregon,M,Bachelor,8672.2297,0.0,245.0,0.0,Corporate Auto,Luxury SUV,2345.413441
HR10526,California,M,Master,8044.730699999999,44320.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
IA63417,Arizona,F,High School or Below,4001.5190999999995,19782.0,108.0,0.0,Personal Auto,Two-Door Car,773.470977
BH35016,Nevada,F,Bachelor,16706.117,63933.0,70.0,0.0,Personal Auto,Two-Door Car,424.883448
PK52952,Arizona,M,Doctor,8544.4111,28224.0,109.0,0.0,Personal Auto,SUV,523.2
OD76309,Washington,F,College,7805.312900000001,21073.0,106.0,1.0,Personal Auto,SUV,508.8
IL28481,Oregon,M,Bachelor,6112.756899999999,63243.0,77.0,0.0,Personal Auto,Four-Door Car,364.240307
GY55092,Nevada,M,High School or Below,4772.9438,20993.0,133.0,0.0,Personal Auto,SUV,638.4
UF33451,Oregon,F,Bachelor,10979.0956,94827.0,135.0,0.0,Personal Auto,SUV,354.729129
CF15558,California,F,Master,5004.2638,39161.0,63.0,1.0,Personal Auto,Two-Door Car,283.995953
